no,pattern_key,title,variable_count,variables,review_notes,risk_flags,review_required,confirmed_for_plc_run
1,safety_master_chain,MASTER SAFETY CHAIN,50,M_AGI40_MASTER_SAFETY_OK; M_AGI40_SAFETY_FAULT_LATCH; ESTOP_OK; T1_PUMP_1_OVERLOAD_TRIP; T1_PUMP_2_OVERLOAD_TRIP; T1_PUMP_3_OVERLOAD_TRIP; T2_PUMP_1_OVERLOAD_TRIP; T2_PUMP_2_OVERLOAD_TRIP; HMI_RESUME_CONFIRM_PB; POWER_RECOVERY_DETECTED; MCC_MAIN_POWER_OK; UPS_POWER_OK; T1_LEVEL_LOW_SW; T1_LEVEL_HIGH_HIGH_SW; T2_LEVEL_LOW_SW; T2_LEVEL_HIGH_HIGH_SW; T1_PUMP_1_FAULT_FB; T1_PUMP_1_MCC_CB_OK; T1_PUMP_1_MAINT_KEY_ON; T1_PUMP_2_FAULT_FB; T1_PUMP_2_MCC_CB_OK; T1_PUMP_2_MAINT_KEY_ON; T1_PUMP_3_FAULT_FB; T1_PUMP_3_MCC_CB_OK; T1_PUMP_3_MAINT_KEY_ON; T2_PUMP_1_FAULT_FB; T2_PUMP_1_MCC_CB_OK; T2_PUMP_1_MAINT_KEY_ON; T2_PUMP_2_FAULT_FB; T2_PUMP_2_MCC_CB_OK; T2_PUMP_2_MAINT_KEY_ON; T1_DRAIN_VALVE_FAULT_FB; T1_ISOLATION_VALVE_FAULT_FB; T1_BYPASS_VALVE_FAULT_FB; T2_TRANSFER_VALVE_FAULT_FB; T2_ISOLATION_VALVE_FAULT_FB; WWTP_DISCHARGE_VALVE_FAULT_FB; LEAK_T1_AREA_DETECTED; LEAK_T2_AREA_DETECTED; LEAK_T1_TRENCH_DETECTED; LEAK_T2_TRENCH_DETECTED; LEAK_MCC_ROOM_DETECTED; LEAK_VALVE_PIT_DETECTED; T1_PUMP_1_FLOW_OK; T1_PUMP_2_FLOW_OK; T1_PUMP_3_FLOW_OK; T2_PUMP_1_FLOW_OK; T2_PUMP_2_FLOW_OK; T1_LEVEL_TRANSMITTER_FAULT; T2_LEVEL_TRANSMITTER_FAULT,"ESTOP/안전문/안전릴레이 접점 방향 확인 필요; Safety Fault 자동 해제 금지, Reset 조건 분리 필요",SAFETY_CONTACT_DIRECTION_REVIEW_REQUIRED; SAFETY_LATCH_RESET_REQUIRED,True,False
2,fault_latch_reset,FAULT LATCH AND MANUAL RESET,11,M_AGI40_FAULT_LATCH; M_AGI40_RESET_OK; ALARM_RESET_PB; ALARM_RESET_PB; ALARM_ACK_PB; T1_PUMP_1_FAULT_FB; T1_PUMP_1_OVERLOAD_TRIP; T1_PUMP_2_FAULT_FB; T1_PUMP_2_OVERLOAD_TRIP; T1_PUMP_3_FAULT_FB; T1_PUMP_3_OVERLOAD_TRIP,Reset 조건은 원인 제거 조건과 함께 검수 필요; Fault Latch와 Alarm Message 매핑 확인 필요,FAULT_RESET_CONDITION_REVIEW_REQUIRED,True,False
3,safety_process_fault_split,SAFETY / PROCESS FAULT SPLIT,32,SAFETY_FAULT_ANY; PROCESS_FAULT_ANY; M_AGI40_SAFETY_FAULT_LATCH; M_AGI40_PROCESS_FAULT_LATCH; M_AGI40_SAFETY_RESET_OK; M_AGI40_PROCESS_RESET_OK; M_AGI40_RESET_BLOCKED_REASON; ALARM_RESET_PB; ESTOP_OK; T1_PUMP_1_OVERLOAD_TRIP; T1_PUMP_2_OVERLOAD_TRIP; T1_PUMP_3_OVERLOAD_TRIP; T2_PUMP_1_OVERLOAD_TRIP; T2_PUMP_2_OVERLOAD_TRIP; HMI_RESUME_CONFIRM_PB; POWER_RECOVERY_DETECTED; MCC_MAIN_POWER_OK; UPS_POWER_OK; T1_LEVEL_LOW_SW; T1_LEVEL_HIGH_HIGH_SW; ALARM_RESET_PB; ALARM_ACK_PB; T1_LEVEL_MID_SW; T1_LEVEL_HIGH_SW; T2_LEVEL_MID_SW; T2_LEVEL_HIGH_SW; T1_PUMP_1_RUN_FB; T1_PUMP_2_RUN_FB; T1_PUMP_3_RUN_FB; T2_PUMP_1_RUN_FB; T2_PUMP_2_RUN_FB; T1_DRAIN_VALVE_OPEN_FB,Safety Fault와 Process Fault를 분리해 검수 필요; Safety Fault는 Process Fault보다 우선 처리 필요; Process Reset은 Safety Fault 해제 후 허용하는지 검수 필요; Reset Blocked Reason 표시는 HMI/알람 메시지와 연동 검토 필요,SAFETY_PROCESS_FAULT_SPLIT_REVIEW_REQUIRED; SAFETY_RESET_PRIORITY_REVIEW_REQUIRED; PROCESS_RESET_BLOCKED_BY_SAFETY_REVIEW_REQUIRED,True,False
4,auto_manual_mode,AUTO / MANUAL MODE GATE,5,PANEL_AUTO_SEL; PANEL_MANUAL_SEL; M_AGI40_MASTER_SAFETY_OK; M_AGI40_MODE_VALID; M_AGI40_MANUAL_PERMISSIVE,자동/수동 모드 배타 확인 필요; 수동 모드 안전 인터락 유지 필요,AUTO_MANUAL_MODE_REVIEW_REQUIRED,True,False
5,maintenance_override_mode,MAINTENANCE / OVERRIDE MODE GATE,9,T1_PUMP_1_MAINT_KEY_ON; T1_BYPASS_VALVE_OPEN_FB; M_AGI40_MASTER_SAFETY_OK; M_AGI40_SAFETY_FAULT_LATCH; M_AGI40_PROCESS_FAULT_LATCH; M_AGI40_MAINTENANCE_ACTIVE; M_AGI40_OVERRIDE_ACTIVE; M_AGI40_OVERRIDE_PERMISSIVE; M_AGI40_OUTPUT_FORCE_BLOCK,Override/Maintenance 모드에서도 Safety Fault 우회 금지; 유지보수 출력 허용 범위는 설비별 승인 조건 필요; HMI 표시 및 이력 기록 연동 검토 필요,MAINTENANCE_OVERRIDE_SAFETY_REVIEW_REQUIRED; OUTPUT_FORCE_BLOCK_REVIEW_REQUIRED,True,False
6,sequence_step,SEQUENCE STEP MANAGER,15,M_AGI40_STEP_IDLE; M_AGI40_STEP_READY; M_AGI40_STEP_RUN; M_AGI40_STEP_COMPLETE; M_AGI40_STEP_FAULT; M_AGI40_STEP_DONE; START_PB; STOP_PB; ALARM_RESET_PB; READY_OK; M_AGI40_MASTER_SAFETY_OK; M_AGI40_SAFETY_FAULT_LATCH; M_AGI40_PROCESS_FAULT_LATCH; M_AGI40_STEP_TIMEOUT_FAULT; T_STEP_TIMEOUT,상태전이는 실제 공정 Step 정의에 맞춰 확장 필요; STEP_DONE 조건은 실제 완료 피드백으로 치환 필요; STOP 우선순위와 Reset 복귀 조건 검수 필요; Fault 상태 전이와 HMI 상태 표시 연동 검토 필요,SEQUENCE_STEP_MANAGER_REVIEW_REQUIRED; STEP_DONE_FEEDBACK_MAPPING_REVIEW_REQUIRED; SEQUENCE_RESET_CONDITION_REVIEW_REQUIRED,True,False
7,motor_permissive,MOTOR OUTPUT PERMISSIVE,10,M_AGI40_MASTER_SAFETY_OK; M_AGI40_FAULT_LATCH; M_AGI40_PROCESS_FAULT_LATCH; M_AGI40_MODE_VALID; READY_OK; T1_PUMP_1_RUN_CMD; T1_PUMP_2_RUN_CMD; T1_PUMP_3_RUN_CMD; T2_PUMP_1_RUN_CMD; T2_PUMP_2_RUN_CMD,출력 허가 조건에 Safety/Ready/No Fault/Mode Valid 포함 필요; 수동 운전 시에도 안전 인터락 유지 필요,MOTOR_OUTPUT_PERMISSIVE_REVIEW_REQUIRED,True,False
8,motor_feedback_monitoring,MOTOR FEEDBACK MONITORING,10,T1_PUMP_1_RUN_CMD; T1_PUMP_1_RUN_FB; STOP_PB; T_MOTOR_START_TIMEOUT; T_MOTOR_STOP_TIMEOUT; M_AGI40_MOTOR_START_TIMEOUT_FAULT; M_AGI40_MOTOR_STOP_TIMEOUT_FAULT; M_AGI40_MOTOR_FEEDBACK_FAULT; M_AGI40_MOTOR_FAULT; M_AGI40_PROCESS_FAULT_LATCH,모터 기동/정지 피드백 타임아웃 시간 현장 기준 검수 필요; 명령/피드백 불일치 Fault를 Process Fault 계열로 연동 필요; STOP 명령 우선순위 검수 필요,MOTOR_START_STOP_TIMEOUT_REVIEW_REQUIRED; MOTOR_FEEDBACK_MISMATCH_PROCESS_FAULT_REVIEW_REQUIRED,True,False
9,valve_open_close,VALVE OPEN/CLOSE CONTROL,11,T1_DRAIN_VALVE_OPEN_CMD; T1_DRAIN_VALVE_CLOSE_CMD; T1_DRAIN_VALVE_OPEN_FB; T1_DRAIN_VALVE_CLOSE_FB; T_VALVE_OPEN_TIMEOUT; T_VALVE_CLOSE_TIMEOUT; M_AGI40_VALVE_OPEN_TIMEOUT_FAULT; M_AGI40_VALVE_CLOSE_TIMEOUT_FAULT; M_AGI40_VALVE_POSITION_CONFLICT_FAULT; M_AGI40_VALVE_FAULT; M_AGI40_PROCESS_FAULT_LATCH,밸브 Open/Close 상호배제 조건 확인 필요; 밸브 Open/Close 피드백 접점 방향 및 타임아웃 기준 검수 필요; 밸브 Fault는 Process Fault 계열 연동 검토 필요,VALVE_OPEN_CLOSE_TIMEOUT_REVIEW_REQUIRED; VALVE_POSITION_CONFLICT_PROCESS_FAULT_REVIEW_REQUIRED,True,False
10,analog_range_check,ANALOG RANGE / DEVIATION / RAMP CHECK,15,T1_LEVEL_AI; D_ANALOG_LOW_LIMIT; D_ANALOG_HIGH_LIMIT; D_ANALOG_TARGET_VALUE; D_ANALOG_DEVIATION_LIMIT; D_ANALOG_PREVIOUS_VALUE; D_ANALOG_RAMP_RATE_LIMIT; D_ANALOG_RAW_MIN; D_ANALOG_RAW_MAX; M_AGI40_ANALOG_RANGE_ALARM; M_AGI40_ANALOG_DEVIATION_ALARM; M_AGI40_ANALOG_RAMP_RATE_ALARM; M_AGI40_ANALOG_SENSOR_FAULT; M_AGI40_ANALOG_FAULT; M_AGI40_PROCESS_FAULT_LATCH,AI/AO 스케일링 기준 검수 필요; 아날로그 하한/상한/목표값 이탈/램프율 급변 기준 확인 필요; 센서 단선 또는 포화값 판단 기준 확인 필요; Analog Fault는 Process Fault 계열 연동 검토 필요,ANALOG_SCALE_LIMIT_REVIEW_REQUIRED; ANALOG_DEVIATION_REVIEW_REQUIRED; ANALOG_RAMP_RATE_REVIEW_REQUIRED; ANALOG_SENSOR_FAULT_PROCESS_FAULT_REVIEW_REQUIRED,True,False
11,timer_timeout,TIMER TIMEOUT FAULT,4,M_AGI40_STEP_ACTIVE; STEP_DONE; T_STEP_TIMEOUT; M_AGI40_STEP_TIMEOUT_FAULT,STEP_DONE 조건을 실제 완료 신호로 치환 필요; 타임아웃 시간은 공정별 검수 필요,STEP_TIMEOUT_REVIEW_REQUIRED,True,False
