변수,타입,디바이스,사용 유무,HMI,설명문
SYS_ESTOP_OK,BIT,M0000,0,0,비상정지 회로 정상 입력
IO_PANEL_AUTO_SEL,BIT,M0400,0,0,현장 판넬 자동 선택
IO_PANEL_MANUAL_SEL,BIT,M0401,0,0,현장 판넬 수동 선택
IO_HMI_RESUME_CONFIRM_PB,BIT,M0402,0,0,복전 후 HMI 운전 재개 확인 입력
AL_RESET_PB,BIT,M0200,0,0,알람 리셋 버튼
AL_ACK_PB,BIT,M0201,0,0,알람 확인 버튼
IO_POWER_RECOVERY_DETECTED,BIT,M0403,0,0,정전 복귀 감지
CNT_PLC_COMM_HEALTH_OK,BIT,M0700,0,0,상위/HMI 통신 정상
CNT_MCC_MAIN_POWER_OK,BIT,M0701,0,0,MCC 메인 전원 정상
IO_UPS_POWER_OK,BIT,M0404,0,0,제어전원/UPS 정상
IO_T1_LEVEL_LOW_SW,BIT,M0405,0,0,1번 집수조 LOW 수위 스위치
IO_T1_LEVEL_MID_SW,BIT,M0406,0,0,1번 집수조 MID 수위 스위치
IO_T1_LEVEL_HIGH_SW,BIT,M0407,0,0,1번 집수조 HIGH 수위 스위치
IO_T1_LEVEL_HIGH_SW_02,BIT,M0408,0,0,1번 집수조 HIGH_HIGH 수위 스위치
IO_T2_LEVEL_LOW_SW,BIT,M0409,0,0,2번 집수조 LOW 수위 스위치
IO_T2_LEVEL_MID_SW,BIT,M0410,0,0,2번 집수조 MID 수위 스위치
IO_T2_LEVEL_HIGH_SW,BIT,M0411,0,0,2번 집수조 HIGH 수위 스위치
IO_T2_LEVEL_HIGH_SW_02,BIT,M0412,0,0,2번 집수조 HIGH_HIGH 수위 스위치
IO_T1_PUMP_1_RUN_FB,BIT,M0413,0,0,1번 집수조 배수펌프 1 운전 피드백
SYS_T1_PUMP_1_FAULT_FB,BIT,M0001,0,0,1번 집수조 배수펌프 1 고장 피드백
IO_T1_PUMP_1_OVERLOAD_TRIP,BIT,M0414,0,0,1번 집수조 배수펌프 1 과부하/열동 트립
CNT_T1_PUMP_1_MCC_CB_OK,BIT,M0702,0,0,1번 집수조 배수펌프 1 MCC 차단기 정상
SEQ_T1_PUMP_1_LOCAL_AUTO_OK,BIT,M0100,0,0,1번 집수조 배수펌프 1 현장 Local Auto 가능 상태
IO_T1_PUMP_1_LOCAL_MANUAL_REQ,BIT,M0415,0,0,1번 집수조 배수펌프 1 현장 수동 운전 요청
TM_T1_PUMP_1_MAINT_KEY_ON,BIT,M0600,0,0,1번 집수조 배수펌프 1 정비 키/점검 모드 선택
IO_T1_PUMP_2_RUN_FB,BIT,M0416,0,0,1번 집수조 배수펌프 2 운전 피드백
SYS_T1_PUMP_2_FAULT_FB,BIT,M0002,0,0,1번 집수조 배수펌프 2 고장 피드백
